Key,Description,Type,Format,Pattern
adpContainer,"An object containing the vulnerability information provided by an Authorized Data Publisher (ADP). Since multiple ADPs can provide information for a CVE ID, an ADP container must indicate which ADP is the source of the information in the object.",object,,
adpContainer.affected,,,,
adpContainer.configurations,,,,
adpContainer.cpeApplicability,,array,,
adpContainer.credits,,,,
adpContainer.datePublic,"If known, the date/time the vulnerability was disclosed publicly.",,,
adpContainer.descriptions,,,,
adpContainer.exploits,,,,
adpContainer.impacts,,,,
adpContainer.metrics,,,,
adpContainer.problemTypes,,,,
adpContainer.providerMetadata,,,,
adpContainer.references,,,,
adpContainer.solutions,,,,
adpContainer.source,,,,
adpContainer.tags,,,,
adpContainer.taxonomyMappings,,,,
adpContainer.timeline,,,,
adpContainer.title,"A title, headline, or a brief phrase summarizing the information in an ADP container.",string,,
adpContainer.workarounds,,,,
adpTags,Tags provided by an ADP describing the CVE Record.,array,,
affected,List of affected products.,array,,
cnaPublishedContainer,"An object containing the vulnerability information provided by a CVE Numbering Authority (CNA) for a published CVE ID. There can only be one CNA container per CVE record since there can only be one assigning CNA. The CNA container must include the required information defined in the CVE Rules, which includes a product, version, problem type, prose description, and a reference.",object,,
cnaPublishedContainer.affected,,,,
cnaPublishedContainer.configurations,,,,
cnaPublishedContainer.cpeApplicability,,array,,
cnaPublishedContainer.credits,,,,
cnaPublishedContainer.dateAssigned,The date/time this CVE ID was associated with a vulnerability by a CNA.,,,
cnaPublishedContainer.datePublic,"If known, the date/time the vulnerability was disclosed publicly.",,,
cnaPublishedContainer.descriptions,,,,
cnaPublishedContainer.exploits,,,,
cnaPublishedContainer.impacts,,,,
cnaPublishedContainer.metrics,,,,
cnaPublishedContainer.problemTypes,,,,
cnaPublishedContainer.providerMetadata,,,,
cnaPublishedContainer.references,,,,
cnaPublishedContainer.solutions,,,,
cnaPublishedContainer.source,,,,
cnaPublishedContainer.tags,,,,
cnaPublishedContainer.taxonomyMappings,,,,
cnaPublishedContainer.timeline,,,,
cnaPublishedContainer.title,"A title, headline, or a brief phrase summarizing the CVE record. Eg., Buffer overflow in Example Soft.",string,,
cnaPublishedContainer.workarounds,,,,
cnaRejectedContainer,An object containing the vulnerability information provided by a CVE Numbering Authority (CNA) for a rejected CVE ID. There can only be one CNA container per CVE record since there can only be one assigning CNA.,object,,
cnaRejectedContainer.providerMetadata,,,,
cnaRejectedContainer.rejectedReasons,Reasons for rejecting this CVE Record.,,,
cnaRejectedContainer.replacedBy,Contains an array of CVE IDs that this CVE ID was rejected in favor of because this CVE ID was assigned to the vulnerabilities.,array,,
cnaTags,Tags provided by a CNA describing the CVE Record.,array,,
configurations,Configurations required for exploiting this vulnerability.,array,,
cpe22and23,Common Platform Enumeration (CPE) Name in either 2.2 or 2.3 format,string,,"([c][pP][eE]:/[AHOaho]?(:[A-Za-z0-9._\-~%]*){0,6})|(cpe:2\.3:[aho*\-](:(((\?*|\*?)([a-zA-Z0-9\-._]|(\\[\\*?!""#$%&'()+,/:;<=>@\[\]\^`{|}~]))+(\?*|\*?))|[*\-])){5}(:(([a-zA-Z]{2,3}(-([a-zA-Z]{2}|[0-9]{3}))?)|[*\-]))(:(((\?*|\*?)([a-zA-Z0-9\-._]|(\\[\\*?!""#$%&'()+,/:;<=>@\[\]\^`{|}~]))+(\?*|\*?))|[*\-])){4})"
cpe23,Common Platform Enumeration (CPE) Name in 2.3 format,string,,"(cpe:2\.3:[aho*\-](:(((\?*|\*?)([a-zA-Z0-9\-._]|(\\[\\*?!""#$%&'()+,/:;<=>@\[\]\^`{|}~]))+(\?*|\*?))|[*\-])){5}(:(([a-zA-Z]{2,3}(-([a-zA-Z]{2}|[0-9]{3}))?)|[*\-]))(:(((\?*|\*?)([a-zA-Z0-9\-._]|(\\[\\*?!""#$%&'()+,/:;<=>@\[\]\^`{|}~]))+(\?*|\*?))|[*\-])){4})"
cpeApplicabilityElement,"Affected products defined using an implementation of the CPE Applicability Language, mostly copied/forked from the NIST NVD CVE API v2.0 schema (optional). An operator property allows AND or OR logic between CPEs or combinations of CPEs. The negate and vulnerable Boolean properties allow CPEs to be inverted and/or defined as vulnerable or not. Multiple version fields are provided for capturing ranges of products when defining a CPE Match String Range. NOTE: When defining a cpeApplicability block, it is recommended that it align with (as much as possible) the product data provided within the affected block.",,,
cpeApplicabilityElement.negate,,boolean,,
cpeApplicabilityElement.nodes,,array,,
cpeApplicabilityElement.operator,,string,,
cpe_match,CPE match string or range,object,,
cpe_match.criteria,,,,
cpe_match.matchCriteriaId,,,,
cpe_match.versionEndExcluding,,,,
cpe_match.versionEndIncluding,,,,
cpe_match.versionStartExcluding,,,,
cpe_match.versionStartIncluding,,,,
cpe_match.vulnerable,,boolean,,
cpe_node,Defines a CPE configuration node in an applicability statement.,,,
cpe_node.cpeMatch,,array,,
cpe_node.negate,,boolean,,
cpe_node.operator,,string,,
credits,"Statements acknowledging specific people, organizations, or tools recognizing the work done in researching, discovering, remediating or helping with activities related to this CVE.",array,,
cveId,,string,,"^CVE-[0-9]{4}-[0-9]{4,19}$"
cveMetadataPublished,"This is meta data about the CVE ID such as the CVE ID, who requested it, who assigned it, when it was requested, the current state (PUBLISHED, REJECTED, etc.) and so on.  These fields are controlled by the CVE Services.",object,,
cveMetadataPublished.assignerOrgId,The UUID for the organization to which the CVE ID was originally assigned. This UUID can be used to lookup the organization record in the user registry service.,,,
cveMetadataPublished.assignerShortName,The short name for the organization to which the CVE ID was originally assigned.,,,
cveMetadataPublished.cveId,The CVE identifier that this record pertains to.,,,
cveMetadataPublished.datePublished,The date/time the CVE Record was first published in the CVE List.,,,
cveMetadataPublished.dateReserved,"The date/time this CVE ID was reserved in the CVE automation workgroup services system. Disclaimer: This date reflects when the CVE ID was reserved, and does not necessarily indicate when this vulnerability was discovered, shared with the affected vendor, publicly disclosed, or updated in CVE.",,,
cveMetadataPublished.dateUpdated,The date/time the record was last updated.,,,
cveMetadataPublished.requesterUserId,The user that requested the CVE identifier.,,,
cveMetadataPublished.serial,"The system of record causes this to start at 1, and increment by 1 each time a submission from a data provider changes this CVE Record. The incremented value moves to the Rejected schema upon a PUBLISHED->REJECTED transition, and moves to the Published schema upon a REJECTED->PUBLISHED transition.",integer,,
cveMetadataPublished.state,"State of CVE - PUBLISHED, REJECTED.",string,,
cveMetadataRejected,"This is meta data about the CVE ID such as the CVE ID, who requested it, who assigned it, when it was requested, the current state (PUBLISHED, REJECTED, etc.) and so on.  These fields are controlled by the CVE Services.",object,,
cveMetadataRejected.assignerOrgId,The UUID for the organization to which the CVE ID was originally assigned.,,,
